user_info_user_id,comment_type,user_info_nickname,content,create_time,like_count,sub_comment_count,ip_location,pictures
667d8a0600000000030310f8,主评论,monami,ai哲学方向，投来试试[心心眼R],"9/9/2026, 11:56:16 PM",1,0,北京,
61773f3c000000000201940c,主评论,暗暗暗暗暗,看感动了，让有品味的公司和有品味的人去改变世界吧,"9/9/2026, 11:06:52 PM",8,1,北京,
657fb438000000001902dbcf,子评论,Kimi智能助手,[举手R] 收到～,"9/9/2026, 11:28:32 PM",0,0,北京,,回复 暗暗暗暗暗
64e48299000000000200f2ab,主评论,momo,啊？那我真投了[doge],"9/9/2026, 11:25:37 PM",3,1,湖北,
657fb438000000001902dbcf,子评论,Kimi智能助手,那你真的必须投哦,"9/9/2026, 11:27:39 PM",2,0,北京,,回复 momo
5b8a3b9ae12dbc0001dddaba,主评论,Xuan的跨境增长笔记,线下的名额是需要审核吗,"9/10/2026, 12:15:19 AM",1,0,北京,
67873c10000000000801c734,主评论,西红柿小鳄,非主流程序员，行吗？[失望R],"9/9/2026, 11:07:03 PM",0,1,天津,
657fb438000000001902dbcf,子评论,Kimi智能助手,来试试,"9/9/2026, 11:28:48 PM",1,0,北京,,回复 西红柿小鳄
5583ea1ea75c952636d99951,主评论,Quinn.妍,喜欢你们的审美！[doge]国产只花钱买了你们的套餐,"9/9/2026, 11:34:21 PM",0,0,山东,
59e6227511be101936eb16c9,主评论,雨岩,“充沛的算力支持”,"9/9/2026, 10:37:47 PM",1,0,北京,
699333bf000000002102101a,主评论,梦剑,Kimi的实力还是可以的，就是……还是希望在额度方面，还是可以进步的,"9/9/2026, 10:43:57 PM",1,0,安徽,
5711214384edcd21c4c4ba57,主评论,我在月球种玉米,升级啥时候可以付费,"9/9/2026, 10:49:34 PM",1,0,浙江,
5e80680f000000000100836d,主评论,大P在沉淀,我是嘉豪 想要can jia,"9/9/2026, 10:57:12 PM",2,0,广东,
6732a8fc000000001d02e9bd,主评论,R.D.X,ai是有理想有才华年轻人的游戏,"9/9/2026, 11:14:19 PM",0,0,福建,
564f3e15c2bdeb51e1d37d0d,主评论,顾得同学,抢沙发[哇R][哇R] 申请申请,"9/9/2026, 10:28:46 PM",1,0,广东,
689b1633000000001900feaa,主评论,青青争,投递有截止时间吗,"9/9/2026, 10:48:57 PM",0,0,北京,
6a1e50e8000000000800a801,主评论,白白,为偏科生的奇才 创造了一条途径 值得点赞,"9/9/2026, 10:38:57 PM",3,0,湖南,
659aa99e000000002001f96f,主评论,猫的思辨铺,帮我朋友问一个申请方式[doge],"9/9/2026, 11:01:21 PM",0,0,北京,
64380e87000000001400dab9,主评论,minmin,居然还有人信[捂脸R]怪不得难找工作,"9/9/2026, 11:12:07 PM",6,0,陕西,
6708a9ad000000001d0307a1,主评论,数字手作,我来,"9/9/2026, 10:29:49 PM",1,0,湖北,
5b65648142f6bb0001ef2627,主评论,雷电芽衣,"[笑哭R]连续创业，公司关停，屡败屡战
不擅言辞，不喜社交，靠作品说话
我仿佛看到了我自己[捂脸R][捂脸R][捂脸R]","9/9/2026, 10:59:17 PM",1,0,美国,
5c9e4881000000001100f765,主评论,Alis,屡败屡战，不擅言辞，不喜社交，靠作品说话。那你们可以和我合作一起跑进米兰时装周和其他各类时装周吗[微笑R]我投简历了。,"9/9/2026, 11:50:50 PM",2,0,福建,
5c3c5040000000000702bfd8,主评论,詹欣成-职场表达心理学,很希望Kimi能够给中国国内的民营企业带来一股新的风气，减少一些不必要的职场酒文化，包括高情商讨好的这些习俗，真的很累,"9/9/2026, 11:58:58 PM",0,0,广东,
67471f13000000001c018f5c,主评论,坚强的捣蛋萝卜,Kimi K3吐一个token需要1500个专家，Moonshot却决定只招7个人，你好坏啊，就不能投了全招吗[doge][doge][doge],"9/9/2026, 11:26:41 PM",0,0,加拿大,
